Sample in Buffer,Sample in Window,TRIGGER,receiver_0[31:0],ila_data[325:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,gtwiz_reset_all_int,gtwiz_reset_rx_done_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtpowergood_int[3:0],rx8b10ben_int[3:0],rxlpmen_int[3:0],rxcommadeten_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],tx8b10ben_int[3:0],txpmaresetdone_int[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
674,674,0,8693bc3c,0083ffc03ffffffeb08696bc3c8696bc3c8696bc3c8696bc3c8693bc3c8693bc3c4181b8898693bc3c,4181b889,8693bc3c,8693bc3c,8696bc3c,8696bc3c,8696bc3c,8696bc3c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
675,675,0,8694bc3c,0083ffc03ffffffea08697bc3c8697bc3c8697bc3c8697bc3c8694bc3c8694bc3c0181b81a8694bc3c,0181b81a,8694bc3c,8694bc3c,8697bc3c,8697bc3c,8697bc3c,8697bc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
676,676,0,8695bc3c,0083ffc03fffffffa08698bc3c8698bc3c8698bc3c8698bc3c8695bc3c8695bc3c4181b88a8695bc3c,4181b88a,8695bc3c,8695bc3c,8698bc3c,8698bc3c,8698bc3c,8698bc3c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
677,677,0,8696bc3c,0083ffc03fffffffb08699bc3c8699bc3c8699bc3c8699bc3c8696bc3c8696bc3c0181b80b8696bc3c,0181b80b,8696bc3c,8696bc3c,8699bc3c,8699bc3c,8699bc3c,8699bc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
678,678,0,8697bc3c,0083ffc03fffffffb0869abc3c869abc3c869abc3c869abc3c8697bc3c8697bc3c418113b48697bc3c,418113b4,8697bc3c,8697bc3c,869abc3c,869abc3c,869abc3c,869abc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
679,679,0,8698bc3c,0083ffc03ffffffea0869bbc3c869bbc3c869bbc3c869bbc3c8698bc3c8698bc3c418113a68698bc3c,418113a6,8698bc3c,8698bc3c,869bbc3c,869bbc3c,869bbc3c,869bbc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
680,680,0,8699bc3c,0083ffc03ffffffea0869cbc3c869cbc3c869cbc3c869cbc3c8699bc3c8699bc3c4181b88c8699bc3c,4181b88c,8699bc3c,8699bc3c,869cbc3c,869cbc3c,869cbc3c,869cbc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
681,681,0,869abc3c,0083ffc03fffffffa0869dbc3c869dbc3c869dbc3c869dbc3c869abc3c869abc3c0181b80d869abc3c,0181b80d,869abc3c,869abc3c,869dbc3c,869dbc3c,869dbc3c,869dbc3c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
682,682,0,869bbc3c,0083ffc03fffffffb0869ebc3c869ebc3c869ebc3c869ebc3c869bbc3c869bbc3c0181b80d869bbc3c,0181b80d,869bbc3c,869bbc3c,869ebc3c,869ebc3c,869ebc3c,869ebc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
683,683,0,869cbc3c,0083ffc03fffffffb0869fbc3c869fbc3c869fbc3c869fbc3c869cbc3c869cbc3c0181b80e869cbc3c,0181b80e,869cbc3c,869cbc3c,869fbc3c,869fbc3c,869fbc3c,869fbc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
684,684,0,869dbc3c,0083ffc03ffffffea086a0bc3c86a0bc3c86a0bc3c86a0bc3c869dbc3c869dbc3c418113b1869dbc3c,418113b1,869dbc3c,869dbc3c,86a0bc3c,86a0bc3c,86a0bc3c,86a0bc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
