Sample in Buffer,Sample in Window,TRIGGER,ila_data_rx[191:0],userdata_rx_0[31:0],userdata_rx_1[31:0],rxdata_ctr_0[15:0],rxdata_ctr_1[15:0],ch0_rxctrl2[7:0],ch1_rxctrl2[7:0],rxbyteisaligned_i[1:0],rxbyterealign_i[1:0],rxcommadet_i[1:0],prbs_match_i[1:0],rxdata_errctr_0[15:0],rxdata_errctr_1[15:0],rxdata_nmlctr_i[39:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
922,922,0,072c2be343000c000cc0006300000000bc2bbfb6bc2bbfb6,bc2bbfb6,bc2bbfb6,0000,0000,63,00,0,0,0,3,000c,000c,072c2be343
923,923,0,072c2be344000c000cc0006300000000da289bdfda289bdf,da289bdf,da289bdf,0000,0000,63,00,0,0,0,3,000c,000c,072c2be344
924,924,0,072c2be345000c000cc0006300000000cf493badcf493bad,cf493bad,cf493bad,0000,0000,63,00,0,0,0,3,000c,000c,072c2be345
925,925,0,072c2be346000c000cc000630000000024aff19324aff193,24aff193,24aff193,0000,0000,63,00,0,0,0,3,000c,000c,072c2be346
926,926,0,072c2be347000c000cc00063000000009fe2f82f9fe2f82f,9fe2f82f,9fe2f82f,0000,0000,63,00,0,0,0,3,000c,000c,072c2be347
927,927,0,072c2be348000c000cc000630000000019f0ac6a19f0ac6a,19f0ac6a,19f0ac6a,0000,0000,63,00,0,0,0,3,000c,000c,072c2be348
928,928,0,072c2be349000c000cc00063000000003298a30c3298a30c,3298a30c,3298a30c,0000,0000,63,00,0,0,0,3,000c,000c,072c2be349
929,929,0,072c2be34a000c000cc0006300000000f59a2449f59a2449,f59a2449,f59a2449,0000,0000,63,00,0,0,0,3,000c,000c,072c2be34a
930,930,0,072c2be34b000c000cc0006300000000fa6b4f9ffa6b4f9f,fa6b4f9f,fa6b4f9f,0000,0000,63,00,0,0,0,3,000c,000c,072c2be34b
931,931,0,072c2be34c000c000cc00063000000009d6cecc99d6cecc9,9d6cecc9,9d6cecc9,0000,0000,63,00,0,0,0,3,000c,000c,072c2be34c
932,932,0,072c2be34d000c000cc0006300000000489f4757489f4757,489f4757,489f4757,0000,0000,63,00,0,0,0,3,000c,000c,072c2be34d
933,933,0,072c2be34e000c000cc00063000000004f39a8214f39a821,4f39a821,4f39a821,0000,0000,63,00,0,0,0,3,000c,000c,072c2be34e
934,934,0,072c2be34f000c000cc00063000000008c90b16d8c90b16d,8c90b16d,8c90b16d,0000,0000,63,00,0,0,0,3,000c,000c,072c2be34f
935,935,0,072c2be350000c000cc0006300000000c17eac5fc17eac5f,c17eac5f,c17eac5f,0000,0000,63,00,0,0,0,3,000c,000c,072c2be350
936,936,0,072c2be351000c000cc00063000000004357431543574315,43574315,43574315,0000,0000,63,00,0,0,0,3,000c,000c,072c2be351
937,937,0,072c2be352000c000cc00063000000009a612a449a612a44,9a612a44,9a612a44,0000,0000,63,00,0,0,0,3,000c,000c,072c2be352
938,938,0,072c2be353000c000cc0006300000000ab697879ab697879,ab697879,ab697879,0000,0000,63,00,0,0,0,3,000c,000c,072c2be353
