Sample in Buffer,Sample in Window,TRIGGER,ila_data[265:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
205,205,0,2a0bdc9f55dbdc9f55dbdc9f55dbdc9f55dbdc9f55abdc9f55abdc9f55abdc9f55a,bdc9f55a,bdc9f55a,bdc9f55a,bdc9f55a,bdc9f55d,bdc9f55d,bdc9f55d,bdc9f55d,0,0,1,0,1,0,1
206,206,0,2a0bdc9f55ebdc9f55ebdc9f55ebdc9f55ebdc9f55bbdc9f55bbdc9f55bbdc9f55b,bdc9f55b,bdc9f55b,bdc9f55b,bdc9f55b,bdc9f55e,bdc9f55e,bdc9f55e,bdc9f55e,0,0,1,0,1,0,1
207,207,0,3b0bdc9f55fbdc9f55fbdc9f55fbdc9f55fbdc9f55cbdc9f55cbdc9f55cbdc9f55c,bdc9f55c,bdc9f55c,bdc9f55c,bdc9f55c,bdc9f55f,bdc9f55f,bdc9f55f,bdc9f55f,0,1,1,0,1,1,1
208,208,0,3b0bdc9f560bdc9f560bdc9f560bdc9f560bdc9f55dbdc9f55dbdc9f55dbdc9f55d,bdc9f55d,bdc9f55d,bdc9f55d,bdc9f55d,bdc9f560,bdc9f560,bdc9f560,bdc9f560,0,1,1,0,1,1,1
209,209,0,3b0bdc9f561bdc9f561bdc9f561bdc9f561bdc9f55ebdc9f55ebdc9f55ebdc9f55e,bdc9f55e,bdc9f55e,bdc9f55e,bdc9f55e,bdc9f561,bdc9f561,bdc9f561,bdc9f561,0,1,1,0,1,1,1
210,210,0,2a0bdc9f562bdc9f562bdc9f562bdc9f562bdc9f55fbdc9f55fbdc9f55fbdc9f55f,bdc9f55f,bdc9f55f,bdc9f55f,bdc9f55f,bdc9f562,bdc9f562,bdc9f562,bdc9f562,0,0,1,0,1,0,1
211,211,0,2a0bdc9f563bdc9f563bdc9f563bdc9f563bdc9f560bdc9f560bdc9f560bdc9f560,bdc9f560,bdc9f560,bdc9f560,bdc9f560,bdc9f563,bdc9f563,bdc9f563,bdc9f563,0,0,1,0,1,0,1
212,212,0,3b0bdc9f564bdc9f564bdc9f564bdc9f564bdc9f561bdc9f561bdc9f561bdc9f561,bdc9f561,bdc9f561,bdc9f561,bdc9f561,bdc9f564,bdc9f564,bdc9f564,bdc9f564,0,1,1,0,1,1,1
213,213,0,3b0bdc9f565bdc9f565bdc9f565bdc9f565bdc9f562bdc9f562bdc9f562bdc9f562,bdc9f562,bdc9f562,bdc9f562,bdc9f562,bdc9f565,bdc9f565,bdc9f565,bdc9f565,0,1,1,0,1,1,1
214,214,0,3b0bdc9f566bdc9f566bdc9f566bdc9f566bdc9f563bdc9f563bdc9f563bdc9f563,bdc9f563,bdc9f563,bdc9f563,bdc9f563,bdc9f566,bdc9f566,bdc9f566,bdc9f566,0,1,1,0,1,1,1
215,215,0,2a0bdc9f567bdc9f567bdc9f567bdc9f567bdc9f564bdc9f564bdc9f564bdc9f564,bdc9f564,bdc9f564,bdc9f564,bdc9f564,bdc9f567,bdc9f567,bdc9f567,bdc9f567,0,0,1,0,1,0,1
216,216,0,2a0bdc9f568bdc9f568bdc9f568bdc9f568bdc9f565bdc9f565bdc9f565bdc9f565,bdc9f565,bdc9f565,bdc9f565,bdc9f565,bdc9f568,bdc9f568,bdc9f568,bdc9f568,0,0,1,0,1,0,1
