Sample in Buffer,Sample in Window,TRIGGER,receiver_0[31:0],ila_data[255:0],userdata_rx_0[31:0],receiver_1[31:0],userdata_rx_1[31:0],receiver_2[31:0],userdata_rx_2[31:0],receiver_3[31:0],userdata_rx_3[31:0],transmitter_0[31:0],userdata_tx_0[31:0],transmitter_1[31:0],userdata_tx_1[31:0],transmitter_2[31:0],userdata_tx_2[31:0],userdata_tx_3[31:0],transmitter_3[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
429,429,0,fbf1503c,3ebe1769503c1769503c040c503cfbf3f23cc39a3cc3503c040e503cfbf1503c,fbf1503c,040e503c,040e503c,3cc3503c,3cc3503c,f23cc39a,f23cc39a,503cfbf3,503cfbf3,503c040c,503c040c,503c1769,503c1769,3ebe1769,3ebe1769
430,430,0,fbf2503c,ff33e7a2503ce7a2503c040b503cfbf4a38df8b98df8503c040d503cfbf2503c,fbf2503c,040d503c,040d503c,8df8503c,8df8503c,a38df8b9,a38df8b9,503cfbf4,503cfbf4,503c040b,503c040b,503ce7a2,503ce7a2,ff33e7a2,ff33e7a2
431,431,0,fbf3503c,cbd5c42d503cc42d503c040a503cfbf52d2b6dfc2b6d503c040c503cfbf3503c,fbf3503c,040c503c,040c503c,2b6d503c,2b6d503c,2d2b6dfc,2d2b6dfc,503cfbf5,503cfbf5,503c040a,503c040a,503cc42d,503cc42d,cbd5c42d,cbd5c42d
432,432,0,fbf4503c,be52542e503c542e503c0409503cfbf69c7779607779503c040b503cfbf4503c,fbf4503c,040b503c,040b503c,7779503c,7779503c,9c777960,9c777960,503cfbf6,503cfbf6,503c0409,503c0409,503c542e,503c542e,be52542e,be52542e
433,433,0,fbf5503c,284dc606503cc606503c0408503cfbf7716825656825503c040a503cfbf5503c,fbf5503c,040a503c,040a503c,6825503c,6825503c,71682565,71682565,503cfbf7,503cfbf7,503c0408,503c0408,503cc606,503cc606,284dc606,284dc606
434,434,0,fbf6503c,89a11e1b503c1e1b503c0407503cfbf80bdb6872db68503c0409503cfbf6503c,fbf6503c,0409503c,0409503c,db68503c,db68503c,0bdb6872,0bdb6872,503cfbf8,503cfbf8,503c0407,503c0407,503c1e1b,503c1e1b,89a11e1b,89a11e1b
435,435,0,fbf7503c,8a3e3e8b503c3e8b503c0406503cfbf9f3d16f42d16f503c0408503cfbf7503c,fbf7503c,0408503c,0408503c,d16f503c,d16f503c,f3d16f42,f3d16f42,503cfbf9,503cfbf9,503c0406,503c0406,503c3e8b,503c3e8b,8a3e3e8b,8a3e3e8b
436,436,0,fbf8503c,21d4da28503cda28503c0405503cfbfa92f9b984f9b9503c0407503cfbf8503c,fbf8503c,0407503c,0407503c,f9b9503c,f9b9503c,92f9b984,92f9b984,503cfbfa,503cfbfa,503c0405,503c0405,503cda28,503cda28,21d4da28,21d4da28
437,437,0,fbf9503c,8a9d3d77503c3d77503c0404503cfbfb685f24ec5f24503c0406503cfbf9503c,fbf9503c,0406503c,0406503c,5f24503c,5f24503c,685f24ec,685f24ec,503cfbfb,503cfbfb,503c0404,503c0404,503c3d77,503c3d77,8a9d3d77,8a9d3d77
438,438,0,fbfa503c,523b2d25503c2d25503c0403503cfbfc65fc61f8fc61503c0405503cfbfa503c,fbfa503c,0405503c,0405503c,fc61503c,fc61503c,65fc61f8,65fc61f8,503cfbfc,503cfbfc,503c0403,503c0403,503c2d25,503c2d25,523b2d25,523b2d25
439,439,0,fbfb503c,51ef1441503c1441503c0402503cfbfda46b92636b92503c0404503cfbfb503c,fbfb503c,0404503c,0404503c,6b92503c,6b92503c,a46b9263,a46b9263,503cfbfd,503cfbfd,503c0402,503c0402,503c1441,503c1441,51ef1441,51ef1441
440,440,0,fbfc503c,7b16a8c9503ca8c9503c0401503cfbfe9a333e0e333e503c0403503cfbfc503c,fbfc503c,0403503c,0403503c,333e503c,333e503c,9a333e0e,9a333e0e,503cfbfe,503cfbfe,503c0401,503c0401,503ca8c9,503ca8c9,7b16a8c9,7b16a8c9
441,441,0,fbfd503c,212bfebe503cfebe503c0400503cfbffd12aca0a2aca503c0402503cfbfd503c,fbfd503c,0402503c,0402503c,2aca503c,2aca503c,d12aca0a,d12aca0a,503cfbff,503cfbff,503c0400,503c0400,503cfebe,503cfebe,212bfebe,212bfebe
442,442,0,fbfe503c,40aad36e503cd36e503c03ff503cfc00a3cbd3a9cbd3503c0401503cfbfe503c,fbfe503c,0401503c,0401503c,cbd3503c,cbd3503c,a3cbd3a9,a3cbd3a9,503cfc00,503cfc00,503c03ff,503c03ff,503cd36e,503cd36e,40aad36e,40aad36e
443,443,0,fbff503c,b87ccdd6503ccdd6503c03fe503cfc0101bb0d18bb0d503c0400503cfbff503c,fbff503c,0400503c,0400503c,bb0d503c,bb0d503c,01bb0d18,01bb0d18,503cfc01,503cfc01,503c03fe,503c03fe,503ccdd6,503ccdd6,b87ccdd6,b87ccdd6
444,444,0,fc00503c,13a5600d503c600d503c03fd503cfc02c3bd102fbd10503c03ff503cfc00503c,fc00503c,03ff503c,03ff503c,bd10503c,bd10503c,c3bd102f,c3bd102f,503cfc02,503cfc02,503c03fd,503c03fd,503c600d,503c600d,13a5600d,13a5600d
445,445,0,fc01503c,263c1c90503c1c90503c03fc503cfc0393d9974ad997503c03fe503cfc01503c,fc01503c,03fe503c,03fe503c,d997503c,d997503c,93d9974a,93d9974a,503cfc03,503cfc03,503c03fc,503c03fc,503c1c90,503c1c90,263c1c90,263c1c90
446,446,0,fc02503c,1cd2b25d503cb25d503c03fb503cfc04b3c8c45ac8c4503c03fd503cfc02503c,fc02503c,03fd503c,03fd503c,c8c4503c,c8c4503c,b3c8c45a,b3c8c45a,503cfc04,503cfc04,503c03fb,503c03fb,503cb25d,503cb25d,1cd2b25d,1cd2b25d
447,447,0,fc03503c,1fde87c1503c87c1503c03fa503cfc0551e6bb0be6bb503c03fc503cfc03503c,fc03503c,03fc503c,03fc503c,e6bb503c,e6bb503c,51e6bb0b,51e6bb0b,503cfc05,503cfc05,503c03fa,503c03fa,503c87c1,503c87c1,1fde87c1,1fde87c1
448,448,0,fc04503c,e89acc29503ccc29503c03f9503cfc0676d15109d151503c03fb503cfc04503c,fc04503c,03fb503c,03fb503c,d151503c,d151503c,76d15109,76d15109,503cfc06,503cfc06,503c03f9,503c03f9,503ccc29,503ccc29,e89acc29,e89acc29
449,449,0,fc05503c,d513859e503c859e503c03f8503cfc0729be4956be49503c03fa503cfc05503c,fc05503c,03fa503c,03fa503c,be49503c,be49503c,29be4956,29be4956,503cfc07,503cfc07,503c03f8,503c03f8,503c859e,503c859e,d513859e,d513859e
