Sample in Buffer,Sample in Window,TRIGGER,ila_data[617:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
115,115,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fe74a5d06a74a5d06a74a5d06a74a5d0605f543c38485c076dd5a0a2205f543c3
116,116,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f3576c10e3576c10e3576c10e3576c10e00a0009e398e39fcefa5ffb900a0009e
117,117,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000ff1d97a56f1d97a56f1d97a56f1d97a56a95aa0466166715821c705d8a95aa046
118,118,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f9600f3f49600f3f49600f3f49600f3f40691a08710c439c8bcde35b40691a087
119,119,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fd8f67636d8f67636d8f67636d8f67636f72e5beb7f7edd41cb1607b4ff275b6b
120,120,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f11942e2711942e2711942e2711942e27e3a6da8fc0a699db8016ff10e3a6da8f
121,121,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fe7c2c1dfe7c2c1dfe7c2c1dfe7c2c1df6f0aa635939983e9ae8a06866f0aa635
122,122,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f207a8e33207a8e33207a8e33207a8e33d71af3dfa566c049c903292dd71af3df
123,123,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fc71a9574c71a9574c71a9574c71a95741b2bcc21f7406ae0a3d8a52d1b2bcc21
124,124,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f5d3bf9785d3bf9785d3bf9785d3bf9787530711ec02f73b451762161753c719e
125,125,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fda880fafda880fafda880fafda880faf9006ad928e3420c2cefcc3ef9006ad92
126,126,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f92360f2292360f2292360f2292360f22de933abdfd77664d3d5f510ade933abd
127,127,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f1caa516c1caa516c1caa516c1caa516cc87e3dcf9c91b224d74702c4c87e3dcf
128,128,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f208327f1208327f1208327f1208327f1ec708306f81d53824700b64cec708306
129,129,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fea6922a0ea6922a0ea6922a0ea6922a0b4173930157761abc8b371f4f41339b0
130,130,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fb5b82e9db5b82e9db5b82e9db5b82e9d3bf9b1ae400d3bd8c1bcbc323bf9b1ae
131,131,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f89322d8989322d8989322d8989322d890c78ba7c6a46436a990429660c78ba7c
132,132,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f1f8306311f8306311f8306311f83063100f7ae238fed03c03f8b520c00f7ae23
133,133,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fca26307dca26307dca26307dca26307dcc745a5ddc87bcdfd5029774cc745a5d
134,134,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fcf7b5d09cf7b5d09cf7b5d09cf7b5d095e351ed4ec5a26167600405a5e313c50
135,135,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f79ccaaba39ccaaba39ccaaba39ccaaba70a0b40c8f54154fd0a5aeb970a0b40c
136,136,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f0643535c0643535c0643535c0643535c962af1f283d01fe6ad882819962af1f2
137,137,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f2743dfc82743dfc82743dfc82743dfc84be1fd179b56de120eb11ea54be1fd17
138,138,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f06f291c706f291c706f291c706f291c7540500a7a3855436b0bd2fa6540500a7
139,139,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f0310936e0310936e0310936e0310936ead1ad4584a5c7a0ce5e5f906ed16f559
140,140,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f92d171e692d171e692d171e692d171e64fe573dcffcc896b1cf3112c4fe573dc
141,141,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f72d77e9c72d77e9c72d77e9c72d77e9ccf430ba06ce540aa44aa4a95cf430ba0
